processed 7117 tokens with 1091 phrases; found: 1139 phrases; correct: 351.
accuracy:  71.55%; precision:  30.82%; recall:  32.17%; FB1:  31.48
       actor.name: precision:  42.22%; recall:  23.75%; FB1:  30.40  45
actor.nationality: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
       actor.type: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   award.category: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   award.ceremony: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   character.name: precision:   2.94%; recall:   6.67%; FB1:   4.08  34
     country.name: precision:   5.26%; recall:   1.61%; FB1:   2.47  19
    director.name: precision:  43.33%; recall:  16.05%; FB1:  23.42  30
director.nationality: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      movie.genre: precision: 100.00%; recall:   2.78%; FB1:   5.41  1
movie.gross_revenue: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
   movie.language: precision:  10.53%; recall:   2.90%; FB1:   4.55  19
   movie.location: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
       movie.name: precision:  30.53%; recall:  56.03%; FB1:  39.52  868
movie.release_date: precision:  33.33%; recall:  27.59%; FB1:  30.19  24
movie.release_region: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
movie.star_rating: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    movie.subject: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
       movie.type: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      person.name: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
    producer.name: precision:   0.00%; recall:   0.00%; FB1:   0.00  19
      rating.name: precision:  55.41%; recall:  67.21%; FB1:  60.74  74
