processed 7117 tokens with 1091 phrases; found: 1133 phrases; correct: 353.
accuracy:  71.86%; precision:  31.16%; recall:  32.36%; FB1:  31.74
       actor.name: precision:  42.22%; recall:  23.75%; FB1:  30.40  45
actor.nationality: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
       actor.type: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   award.category: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   award.ceremony: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   character.name: precision:   2.94%; recall:   6.67%; FB1:   4.08  34
     country.name: precision:   5.00%; recall:   1.61%; FB1:   2.44  20
    director.name: precision:  41.94%; recall:  16.05%; FB1:  23.21  31
director.nationality: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      movie.genre: precision: 100.00%; recall:   2.78%; FB1:   5.41  1
movie.gross_revenue: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   movie.language: precision:  20.00%; recall:   4.35%; FB1:   7.14  15
   movie.location: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
       movie.name: precision:  30.48%; recall:  56.45%; FB1:  39.58  876
movie.release_date: precision:  36.84%; recall:  24.14%; FB1:  29.17  19
movie.release_region: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
movie.star_rating: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    movie.subject: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
       movie.type: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      person.name: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
    producer.name: precision:   0.00%; recall:   0.00%; FB1:   0.00  18
      rating.name: precision:  61.19%; recall:  67.21%; FB1:  64.06  67
